Data_Hora;Data_Referencia;Produto;Valor_Unitario_BRL
2026-07-20 19:38:49;2026-07-20;Cimento Mauá 50kg;
2026-07-20 19:38:50;2026-07-20;Argamassa AC3 20kg;
2026-07-20 19:38:52;2026-07-20;Piso Porcelanato 80x80;
2026-07-20 19:38:53;2026-07-20;Tinta Suvinil Branco Neve 18L;
2026-07-20 19:38:54;2026-07-20;Furadeira de Impacto Bosch;
2026-07-20 19:38:55;2026-07-20;Parafusadeira Dewalt 12V;
2026-07-20 19:38:56;2026-07-20;Chuveiro Lorenzetti Acqua Duo;
2026-07-20 19:38:57;2026-07-20;Torneira Gourmet Cozinha;
2026-07-20 19:38:59;2026-07-20;Lâmpada LED 9W Elgin;
2026-07-20 19:39:00;2026-07-20;Pintura Acrílica Coral 18L;
2026-07-20 19:39:01;2026-07-20;Massa Corrida Renner 25kg;
2026-07-20 19:39:02;2026-07-20;Lixadeira Orbital Makita;
2026-07-20 19:39:03;2026-07-20;Escada Alumínio 5 Degraus;
2026-07-20 19:39:05;2026-07-20;Disjuntor Bipolar 32A Schneider;
2026-07-20 19:39:06;2026-07-20;Fio Flexível 2.5mm 100m;
2026-07-20 19:39:07;2026-07-20;Caixa D'Água 1000L Fortlev;
2026-07-20 19:39:08;2026-07-20;Vaso Sanitário Monobloco;
2026-07-20 19:39:09;2026-07-20;Pia de Inox 120cm;
2026-07-20 19:39:10;2026-07-20;Fechadura Digital Pado;
2026-07-20 19:39:12;2026-07-20;Interruptor Duplo Tramontina;
2026-07-20 19:39:13;2026-07-20;Piso Vinílico Click 5mm;
2026-07-20 19:39:14;2026-07-20;Impermeabilizante Vedacit 18L;
2026-07-20 19:39:15;2026-07-20;Serra Tico-Tico Bosch;
2026-07-20 19:39:16;2026-07-20;Refletor LED 50W Holofote;
2026-07-20 19:39:18;2026-07-20;Kit Ferramentas 110 Peças;
2026-07-20 19:39:19;2026-07-20;Exaustor Banheiro Ventisol;
2026-07-20 19:39:20;2026-07-20;Pistola de Pintura Elétrica;
2026-07-20 19:39:21;2026-07-20;Tubo PVC 100mm 3m;
2026-07-20 19:39:22;2026-07-20;Gabinete de Banheiro com Espelho;
2026-07-20 19:39:23;2026-07-20;Broca para Concreto Set 5 Pçs;
2026-07-25 19:39:25;2026-07-25;Cimento Mauá 50kg;
2026-07-25 19:39:26;2026-07-25;Argamassa AC3 20kg;
2026-07-25 19:39:27;2026-07-25;Piso Porcelanato 80x80;
2026-07-25 19:39:28;2026-07-25;Tinta Suvinil Branco Neve 18L;
2026-07-25 19:39:29;2026-07-25;Furadeira de Impacto Bosch;
2026-07-25 19:39:31;2026-07-25;Parafusadeira Dewalt 12V;
2026-07-25 19:39:32;2026-07-25;Chuveiro Lorenzetti Acqua Duo;
2026-07-25 19:39:33;2026-07-25;Torneira Gourmet Cozinha;
2026-07-25 19:39:34;2026-07-25;Lâmpada LED 9W Elgin;
2026-07-25 19:39:35;2026-07-25;Pintura Acrílica Coral 18L;
2026-07-25 19:39:37;2026-07-25;Massa Corrida Renner 25kg;
2026-07-25 19:39:38;2026-07-25;Lixadeira Orbital Makita;
2026-07-25 19:39:39;2026-07-25;Escada Alumínio 5 Degraus;
2026-07-25 19:39:40;2026-07-25;Disjuntor Bipolar 32A Schneider;
2026-07-25 19:39:41;2026-07-25;Fio Flexível 2.5mm 100m;
2026-07-25 19:39:43;2026-07-25;Caixa D'Água 1000L Fortlev;
2026-07-25 19:39:44;2026-07-25;Vaso Sanitário Monobloco;
2026-07-25 19:39:45;2026-07-25;Pia de Inox 120cm;
2026-07-25 19:39:46;2026-07-25;Fechadura Digital Pado;
2026-07-25 19:39:47;2026-07-25;Interruptor Duplo Tramontina;
2026-07-25 19:39:49;2026-07-25;Piso Vinílico Click 5mm;
2026-07-25 19:39:50;2026-07-25;Impermeabilizante Vedacit 18L;
2026-07-25 19:39:51;2026-07-25;Serra Tico-Tico Bosch;
2026-07-25 19:39:52;2026-07-25;Refletor LED 50W Holofote;
2026-07-25 19:39:54;2026-07-25;Kit Ferramentas 110 Peças;
2026-07-25 19:39:55;2026-07-25;Exaustor Banheiro Ventisol;
2026-07-25 19:39:56;2026-07-25;Pistola de Pintura Elétrica;
2026-07-25 19:39:57;2026-07-25;Tubo PVC 100mm 3m;
2026-07-25 19:39:58;2026-07-25;Gabinete de Banheiro com Espelho;
2026-07-25 19:39:59;2026-07-25;Broca para Concreto Set 5 Pçs;
